,Company Name,Sector,Region,Startup Year,Domestic Funds in mil USD,Foreign Funds,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022
0,Urban Company,Home Services,Gurugram,2014,190.0,0,216.0,376.0,21.0,960.0,1769.0
1,Classplus,Edtech,Noida,2018,25.0,0,18.0,27.0,36.2,200.0,270.0
2,Paytm,Fintech,Noida,2010,4000.0,0,3115.0,3232.01,2000.0,9600.0,10000.0
3,Apna,Job Marketplace,Bangalore,2019,20.0,0,0,1.2,2.3,40.0,88.0
4,Razorpay,Fintech,Bangalore,2014,206.0,0,92.0,197.0,43.6,660.0,884.0
5,UpGrad,Edtech,Mumbai,2015,185.0,0,59.0,132.0,165.0,1660.0,2000.0
6,Delhivery,Logistics,Gurugram,2011,1.6,0,1073.0,1634.0,2500.0,6000.0,8800.0
7,1mg,Healthtech,Gurugram,2015,450.0,0,85.8,63.2,50.0,884.0,900.0
8,BigBasket,E-commerce,Bangalore,2011,280.0,0,1606.0,2380.0,2500.0,8800.0,9300.0
9,GoMechanic,Auto Services,Gurugram,2016,42.0,0,61.85,106.0,12.3,32.0,45.0
10,Unacademy,Edtech,Bangalore,2015,440.0,0,5.53,11.6,86.0,1825.0,2500.0
11,Ola,Transportation,Bangalore,2010,3800.0,500.0,1860.0,2543.0,2662.3,2920.0,4308.0
12,Licious,Food Delivery,Bengaluru,2015,286.0,0,27.7,69.43,68.26,876.0,1302.0
13,CRED,Fintech,Bangalore,2018,80.0,0,64.8,62.3,0.18,292.0,450.0
14,CityMall,E-commerce,Gurgaon,2018,11.0,0,14.95,16.5,14.95,109.5,162.0
15,Groww,Fintech,Bangalore,2016,30.0,0,0.1,0.2,1.77,219.0,432.0
16,Grofers,E-commerce,Gurugram,2013,200.0,0,83.6,173.7,1.77,5110.0,6457.0
17,Jumbotail,B2B E-commerce,Bangalore,2015,15.0,0,900.0,1003.0,830.0,584.0,884.0
18,slice,Fintech,Bangalore,2019,20.0,0,26.0,27.0,39.0,146.0,276.0
19,InMobi,Advertising Tech,Bangalore,2007,330.0,0,392.0,432.0,579.0,2555.0,3946.0
20,Dunzo,Hyperlocal Delivery,Bangalore,2015,40.0,0,2.2,3.5,38.0,438.0,592.0
21,BYJU’S,Edtech,Bangalore,2008,460.0,0,520.0,1376.0,3492.0,14600.0,23459.0
22,Cashfree,Fintech,Bangalore,2015,35.0,0,25.22,34.0,68.26,227.33,350.0
23,MediBuddy,Healthtech,Bangalore,2014,50.0,0,13.0,25.0,18.0,234.0,260.0
24,Progcap,Fintech,New Delhi,2017,25.0,0,7.0,6.0,14.95,5.9,26.41
25,Capital Float,Fintech,Bangalore,2013,15.0,0,200.0,276.0,177.0,87.2,62.0
26,CARS24,Automotive,Gurugram,2015,400.0,0,660.95,1687.0,1.77,2796.0,6072.0
27,Skillmatics,Education,Bangalore,2017,40.0,0,5.0,8.84,36.0,150.0,400.0
28,Rapido,Transportation,Bangalore,2015,52.0,0,20.0,30.0,39.0,75.6,144.8
29,Reliance Jio,Telecommunications,Mumbai,2016,0,20000.0,38638.0,23394.0,72948.0,792000.0,976000.0
30,YourStory,Media and Publishing,Bangalore,2008,5.0,0,18.0,27.0,28.0,26.0,84.0
31,Kodo,Payment Solutions,Bengaluru,2021,2.5,0,0,0,0,0,0
32,Practo,Healthtech,Bangalore,2008,90.0,0,175.0,124.0,22.73,105.0,200.0
33,NiYO Solutions,Fintech,Bangalore,2015,49.0,0,10.0,13.0,23.4,126.0,205.0
34,Reliance Retail,Retail,Mumbai,2006,0,2700.0,130556.0,100000.0,22.73,149925.0,199000.0
35,Locus.sh,Logistics and Supply Chain,Gurugram,2015,50.0,0,67.0,88.4,94.0,709.5,1000.0
36,KreditBee,Fintech,Bengaluru,2018,145.0,0,13.4,14.0,16.87,424.08,445.4
37,Blackbuck,Logistics and Supply Chain,Bangalore,2015,150.0,0,888.0,1739.0,22.81,867.0,833.0
38,Wakefit,Home and Living,Bangalore,2016,28.0,0,80.0,199.0,19.7,408.6,632.8
39,Freshtohome,E-commerce,Bangalore,2015,121.0,0,160.35,200.0,120.0,67.9,102.5
40,Housing.com,Real Estate,Gurugram,2012,20.0,0,2932.0,2733.0,1.27,300.0,430.0
41,Doubtnut,Edtech,Gurugram,2017,80.0,0,5.0,5.6,2.28,0,10.83
42,smallcase,Fintech,Bangalore,2015,40.0,0,4.0,4.2,11.4,4.7,9.8
43,Instamojo,Fintech,Bangalore,2012,30.0,0,30.0,40.0,38.0,42.0,50.0
44,Zomato,Food Delivery,Gurugram,2008,660.0,0,466.0,820.0,260.4,3500.0,5000.0
45,SUGAR Cosmetics,Beauty and Cosmetics,Gurugram,2015,21.0,0,45.0,70.0,100.0,105.0,150.0
46,WinZO,Gaming,New Delhi,2018,65.0,0,11.0,19.0,64.0,112.0,234.0
47,Chingari,Social Media and Entertainment,Bengaluru,2018,19.0,0,1.0,2.0,2.6,5.0,10.0
48,Fisdom,Fintech,Bangalore,2015,7.0,0,23.0,50.0,30.0,20.0,30.0
49,Digit Insurance,Insurtech,Bengaluru,2016,84.0,0,450.0,1634.0,1504.0,1334.4,1758.6
50,Aye Finance,Fintech,Gurugram,2014,67.0,0,183.0,438.0,390.0,402.0,630.0
51,Rivigo,Logistics and Supply Chain,Gurugram,2014,95.0,0,721.0,684.0,600.0,635.0,600.0
52,Pepper Content,Content Marketing and Creation,Mumbai,2017,4.2,0,0.5,2.0,2.1,3.3,19.03
53,Get My Parking,Smart Parking Solutions,New Delhi,2015,6.0,0,27.0,37.0,29.05,40.5,43.0
54,FabAlley,Fashion E-commerce,Gurugram,2012,3.0,0,80.0,87.48,127.0,270.0,303.0
55,FarMart,Agri-tech and E-commerce,Gurugram,2017,2.0,0,30.0,35.0,65.0,158.0,209.0
56,mfine,Healthtech and Telemedicine,Bangalore,2017,16.0,0,5.0,5.6,6.7,14.7,50.2
57,Medlife,Healthcare and Pharmacy,Bangalore,2014,25.0,0,135.6,343.5,637.0,737.0,1000.0
58,Lendingkart,Fintech,Ahmedabad,2014,30.0,0,91.8,80.0,111.0,510.0,638.5
59,Chqbook,Fintech,Gurugram,2017,4.0,0,0,6.0,10.0,13.0,26.0
60,Turtlemint,Insurtech,Mumbai,2015,30.0,0,100.0,178.0,100.0,63.1,99.4
61,Ecom Express,Logistics and Supply Chain,New Delhi,2012,35.0,0,578.0,670.0,1500.0,1638.0,2127.0
62,BharatPe,Fintech,New Delhi,2018,108.0,0,18.0,6.0,6.0,119.0,321.0
63,Vymo,Fintech,Bangalore,2013,18.0,0,28.0,34.0,56.0,76.0,89.0
64,Shiprocket,Logistics and E-commerce Solutions,Gurugram,2017,13.0,0,30.0,45.0,165.0,358.0,611.13
65,LeadSquared,Sales and Marketing Automation,Bengaluru,2012,32.0,0,19.0,33.0,56.0,99.5,193.5
66,FamPay,Fintech,Bangalore,2019,38.0,0,0,3.06,4.0,3.5,3.0
67,Quikr,Online Classifieds and Marketplace,Bangalore,2008,75.0,0,200.0,173.49,150.0,60.7,49.1
68,Quizizz,Edtech,Palo Alto,2017,12.5,0,29.0,8.6,10.0,15.0,12.0
69,Stanza Living,Coliving and Student Housing,Gurugram,2017,72.0,0,33.0,50.0,71.33,39.7,115.0
70,Pristyn Care,Healthcare and Wellness,Gurugram,2018,53.0,0,1.2,3.43,25.78,96.0,350.0
71,Polygon (Previously Matic Network),Blockchain and Cryptocurrency,Mumbai,2017,260.0,0,171.0,0,0,0,0
72,Bobble AI,Artificial Intelligence and Chatbots,Gurugram,2015,5.0,0,34.0,26.0,13.78,2.31,18.0
