,Company Name,Sector,Region,Startup Year,Domestic Funds in mil USD,Foreign Funds,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022
2,Paytm,Fintech,Noida,2010,4000.0,0.0,3115.0,3232.01,2000.0,9600.0,10000.0
4,Razorpay,Fintech,Bangalore,2014,206.0,0.0,92.0,197.0,43.6,660.0,884.0
13,CRED,Fintech,Bangalore,2018,80.0,0.0,64.8,62.3,0.18,292.0,450.0
15,Groww,Fintech,Bangalore,2016,30.0,0.0,0.1,0.2,1.77,219.0,432.0
18,slice,Fintech,Bangalore,2019,20.0,0.0,26.0,27.0,39.0,146.0,276.0
22,Cashfree,Fintech,Bangalore,2015,35.0,0.0,25.22,34.0,68.26,227.33,350.0
24,Progcap,Fintech,New Delhi,2017,25.0,0.0,7.0,6.0,14.95,5.9,26.41
25,Capital Float,Fintech,Bangalore,2013,15.0,0.0,200.0,276.0,177.0,87.2,62.0
33,NiYO Solutions,Fintech,Bangalore,2015,49.0,0.0,10.0,13.0,23.4,126.0,205.0
36,KreditBee,Fintech,Bengaluru,2018,145.0,0.0,13.4,14.0,16.87,424.08,445.4
42,smallcase,Fintech,Bangalore,2015,40.0,0.0,4.0,4.2,11.4,4.7,9.8
43,Instamojo,Fintech,Bangalore,2012,30.0,0.0,30.0,40.0,38.0,42.0,50.0
48,Fisdom,Fintech,Bangalore,2015,7.0,0.0,23.0,50.0,30.0,20.0,30.0
50,Aye Finance,Fintech,Gurugram,2014,67.0,0.0,183.0,438.0,390.0,402.0,630.0
58,Lendingkart,Fintech,Ahmedabad,2014,30.0,0.0,91.8,80.0,111.0,510.0,638.5
59,Chqbook,Fintech,Gurugram,2017,4.0,0.0,0.0,6.0,10.0,13.0,26.0
62,BharatPe,Fintech,New Delhi,2018,108.0,0.0,18.0,6.0,6.0,119.0,321.0
63,Vymo,Fintech,Bangalore,2013,18.0,0.0,28.0,34.0,56.0,76.0,89.0
66,FamPay,Fintech,Bangalore,2019,38.0,0.0,0.0,3.06,4.0,3.5,3.0
83,Kissht208,Fintech,Bangalore,2015,4.0,0.0,13.0,26.0,214.0,513.6,1020.9
91,True Balance,Fintech,Gurugram,2014,42.0,0.0,5.97,8.35,45.0,63.0,243.91
93,EarlySalary,Fintech,Pune,2015,17.0,0.0,100.0,124.0,101.6,84.2,602.61
