Sector,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022
Advertising Tech,392.0,432.0,579.0,2555.0,3946.0
Agri-tech and E-commerce,30.0,35.0,65.0,158.0,209.0
Artificial Intelligence and Chatbots,34.0,26.0,13.78,2.31,18.0
Artificial Intelligence and E-commerce Tech,12.0,64.0,100.0,670.0,782.0
Auto Services,61.85,106.0,12.3,32.0,45.0
Auto Services and Maintenance,2.0,22.0,45.0,72.0,155.0
Automotive,660.95,1687.0,1.77,2796.0,6072.0
B2B E-commerce,900.0,1003.0,830.0,584.0,884.0
B2B E-commerce and Retail Tech,45.0,89.0,211.0,258.7,1117.4
Beauty and Cosmetics,45.0,70.0,100.0,105.0,150.0
Beverages and Craft Beer,160.0,192.0,721.0,431.0,720.0
Blockchain and Cryptocurrency,171.0,0.0,0.0,0.0,0.0
Car Rental and Subscription,12.0,12.56,14.64,36.0,63.0
Celebrity Shoutouts and Fan Engagement,2.0,3.43,5.56,4.2,6.7
Coliving and Student Housing,33.0,50.0,71.33,39.7,115.0
Consumer Robotics and AI,3.4,7.27,19.35,27.51,117.0
Content Creation and Publishing,1.5,1.0,0.76,0.19,7.88
Content Marketing and Creation,0.5,2.0,2.1,3.3,19.03
Cryptocurrency and Finance,1134.0,1200.58,3962.79,3030.52,4206.4
E-commerce,1864.9,2770.2,2636.72,14087.4,16021.5
E-commerce and Fashion,160.2,184.0,100.89,179.0,69.13
E-commerce and Retail Solutions,1.62,2.01,5.1,7.41,10.43
Edtech,640.03,1567.3999999999999,3802.2799999999997,18315.91,28440.16
Edtech and Augmented Reality,58.0,70.0,88.0,75.0,109.26
Edtech and Test Preparation,12.0,30.0,60.0,60.0,750.0
Education,5.0,8.84,36.0,150.0,400.0
Electric Mobility and Ride Sharing,0.0,0.0,0.0,0.0,403.0
Electric Vehicles and Technology,2.12,4.0,7.0,14.4,43.2
Fashion E-commerce,80.0,87.48,127.0,270.0,303.0
Fintech,4050.29,4681.12,3402.03,13638.51,16795.53
Fintech and Digital Payments,22.59,54.0,63.0,182.0,287.0
Fintech and Pharmatech,0.43,0.78,1.93,8.05,12.0
Fitness and Supplements,190.0,210.0,335.0,310.0,700.0
Food Delivery,493.7,889.4300000000001,328.65999999999997,4376.0,6302.0
Gaming,11.0,19.0,64.0,112.0,234.0
Genomics and Healthcare,100.0,115.0,184.0,220.0,400.0
Healthcare and Hospitals,65.0,330.0,500.0,513.3,1168.0
Healthcare and Pharmacy,135.6,343.5,637.0,737.0,1000.0
Healthcare and Wellness,1.2,3.43,25.78,96.0,350.0
Healthtech,273.8,212.2,90.73,1223.0,1360.0
Healthtech and Eyecare,74.0,56.0,13.81,39.83,156.93
Healthtech and Telemedicine,5.0,5.6,6.7,14.7,50.2
Home Services,216.0,376.0,21.0,960.0,1769.0
Home and Living,80.0,199.0,19.7,408.6,632.8
Hospitality and Hotel Chain,38.0,50.0,45.0,289.0,550.0
Hyperlocal Delivery,2.2,3.5,38.0,438.0,592.0
Insurtech,562.42,1821.8,1611.5,1409.6000000000001,1871.0
Insurtech and Healthcare,764.0,1000.0,4690.0,4629.0,10610.0
Job Marketplace,0.0,1.2,2.3,40.0,88.0
Logistics,1073.0,1634.0,2500.0,6000.0,8800.0
Logistics and E-commerce Solutions,30.0,45.0,165.0,358.0,611.13
Logistics and Fleet Management,2.29,0.0,0.0,0.0,175.0
Logistics and Supply Chain,2254.0,3181.4,2216.81,3849.5,4560.0
Logistics and Supply Chain Solutions,40.0,63.0,97.0,189.2,372.0
Logistics and Supply Chain Tech,34.0,41.0,14.0,19.0,15.12
Logistics and Supply Chain Technology,0.8,1.0,4.0,26.0,78.0
Media and Publishing,18.0,27.0,28.0,26.0,84.0
Mobile Phones and Electronics,73.18,106.0,300.0,3034.0,5524.0
Online Classifieds and Marketplace,200.0,173.49,150.0,60.7,49.1
Online Mattress Retail and Sleep Solutions,3.5,50.46,300.0,456.0,550.0
Payment Solutions,0.0,0.0,0.0,0.0,0.0
Real Estate,2932.0,2733.0,1.27,300.0,430.0
Real Estate and Property Tech,281.5,79.5,167.0,546.48,317.4
Recommerce and Electronics Trade-In,47.3,120.0,343.5,340.0,498.0
Restaurant Tech and Software,0.3,1.34,2.3,4.34,15.0
Retail,130556.0,100000.0,22.73,149925.0,199000.0
Sales and Marketing Automation,19.0,33.0,56.0,99.5,193.5
Shared Micro-Mobility and Transportation,3.0,5.0,4.6,15.9,30.5
Smart Parking Solutions,27.0,37.0,29.05,40.5,43.0
Social Media and Entertainment,1.0,2.0,2.6,5.0,10.0
Tech Education and Training,0.65,0.89,1.54,0.66,0.84
Telecommunications,38638.0,23394.0,72948.0,792000.0,976000.0
Transportation,1880.0,2573.0,2701.3,2995.6,4452.8
Transportation and E-Rickshaws,5.0,9.0,22.7,0.0,0.0
Virtual Reality and Healthcare,36.0,74.0,193.0,142.0,163.0
Wealth Management and Fintech,0.0,0.0,7.25,0.0,483.19
