Sector,Percent Revenue
,Home Services,-376.0946117450113
,Fintech,-44.95051602243945
,Auto Services,-157.42157140026586
,E-commerce,-2385.2154592437055
,Automotive,-23749.006053708163
,Healthtech,-90.20279679034522
,Retail,-109938.27917303336
,Logistics and Supply Chain,-1845.4063906451288
,Home and Living,-179.936198700741
,Real Estate,-53743.58063616803
,Online Classifieds and Marketplace,-50.420660725432356
,Edtech,-53.71899224806201
,Artificial Intelligence and Chatbots,-132.20465148059486
,Healthtech and Eyecare,-49.42480404426953
,Content Creation and Publishing,-70.99752872027787
,Logistics and Supply Chain Tech,-43.78238957828175
,Real Estate and Property Tech,-1090.1957141176385
